"LANGUAGE","Русский","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Это сообщение просто для того, чтобы вы знали, что мод был обновлён.",""
"WHATSNEW_L2","Подробный список изменений доступен в Steam Workshop или на GitHub.",""
"WHATSNEW_L3","Спасибо за использование и поддержку!",""
"MOD_DESCRIPTION","Дисплей поезда в японском стиле",""
"NEXT","Следующая","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Сейчас остановка на","Now stopping at {0}. ({0} is the station name)"
"FOR","На","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","На","For {0}. ({0} is the station name)"
"SETTINGS_GROUPNAME_DISPLAY","Настройки отображения",""
"SETTINGS_DISPLAY_WIDTH","Ширина дисплея",""
"SETTINGS_DISPLAY_ROWDIR","Направление строк отображения (действует для CJK)",""
"SETTINGS_DISPLAY_ROWDIR_L2R","Слева направо",""
"SETTINGS_DISPLAY_ROWDIR_R2L","Справа налево",""
"SETTINGS_STATION_NAME_ANGLE","Угол поворота названия станции (действует в не-CJK)",""
"SETTINGS_MAXSTATIONNUM","Максимальное количество отображаемых станций",""
"SETTINGS_TEXT_SHRINKED","Сокращать текст следующей станции, если он длинный",""
"SETTINGS_STATION_SUFFIX","Суффиксы названий станций для удаления",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","Если название станции заканчивается на эти суффиксы, они будут удалены из отображения",""
"SETTINGS_STATION_SUFFIX_WHITELIST","Белый список суффиксов названий станций",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","Они не будут удалены из названий станций, даже если они есть в списке удаляемых суффиксов.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Отображать типы транспортных средств",""
"SETTINGS_TOGGLEKEY","Переключить отображение",""
"SETTINGS_TOGGLEKEY_TOOLTIP","Эта клавиша будет игнорировать настройки ""{0}"".",""
"SETTINGS_IS_TRAIN","Поезд",""
"SETTINGS_IS_METRO","Метро",""
"SETTINGS_IS_MONORAIL","Монорельс",""
"SETTINGS_IS_TRAM","Трамвай",""
"SETTINGS_IS_BUS","Автобус",""
"SETTINGS_IS_TROLLEYBUS","Троллейбус",""
"SETTINGS_IS_FERRY","Паром",""
"SETTINGS_IS_BLIMP","Дирижабль",""
"SETTINGS_IS_COPTER","Вертолёт",""
"SETTINGS_TTS","Включить TTS",""
"SETTINGS_TTS_VOICECHOICE","Выбрать голос",""
"SETTINGS_TTS_TOOLTIP","Включить голос объявления станции на основе текста в речь.",""
"SETTINGS_TTS_DEPARTING","Формат объявления при отправлении со станции",""
"SETTINGS_TTS_ARRIVING","Формат объявления при прибытии на станцию",""
"SETTINGS_TTS_RATE","Скорость речи",""
"SETTINGS_TTS_FORMATTOOLTIP","{0} - Название станции
{1} - Название терминала
{2} - Название линии
{3} - Код линии (требуется мод TLM)
{4} - Название типа транспортного средства",""
"SETTINGS_TTS_NOTAVAILABLE","Извините, эта функция доступна только для Windows.",""
"WARNTITLE","Предупреждение!",""
"WARNDETAIL","Дисплей поезда перестал отображать: {1}{0}",""
"WARNTEXT","Не удалось определить начальную и конечную станции",""
"IGNORE","Игнорировать",""
"HIDE","Скрыть дисплей",""
"SETTINGS_RESETBTN","Сброс настроек",""
