"LANGUAGE","Türkçe","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Bu mesaj sadece modun güncellendiğini bildirmek içindir.",""
"WHATSNEW_L2","Değişikliklerin ayrıntılı listesi için lütfen Steam Workshop veya GitHubı ziyaret edin.",""
"WHATSNEW_L3","Kullanımınız ve desteğiniz için teşekkür ederiz!",""
"MOD_DESCRIPTION","Japon Tarzı Tren Ekranı",""
"NEXT","Sonraki","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Şu anda duruyor","Now stopping at {0}. ({0} is the station name)"
"FOR","İçin","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","İçin","For {0}. ({0} is the station name)"
"SETTINGS_GROUPNAME_DISPLAY","Görüntü İlgili Seçenekler",""
"SETTINGS_DISPLAY_WIDTH","Ekran genişliği",""
"SETTINGS_DISPLAY_ROWDIR","Görüntü satır yönü (CJK'de geçerli)",""
"SETTINGS_DISPLAY_ROWDIR_L2R","Soldan sağa",""
"SETTINGS_DISPLAY_ROWDIR_R2L","Sağdan sola",""
"SETTINGS_STATION_NAME_ANGLE","İstasyon adı döndürme açısı (CJK olmayan dillerde geçerlidir)",""
"SETTINGS_MAXSTATIONNUM","Maksimum görüntülenen istasyon sayısı",""
"SETTINGS_TEXT_SHRINKED","İstasyon metni uzunsa küçült",""
"SETTINGS_STATION_SUFFIX","Kaldırılacak istasyon sonekleri",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","İstasyon adı bu soneklerle bitiyorsa, görüntüden kaldırılacaktır.",""
"SETTINGS_STATION_SUFFIX_WHITELIST","İstasyon adı sonekleri beyaz listesi",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","Bunlar, kaldırılacak sonekler listesinde olsalar bile istasyon adlarından kaldırılmayacaktır.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Araç Türlerini Göster",""
"SETTINGS_TOGGLEKEY","Görüntülemeyi aç/kapat",""
"SETTINGS_TOGGLEKEY_TOOLTIP","Bu tuş ""{0}"" ayarlarını yok sayar. ",""
"SETTINGS_IS_TRAIN","Tren",""
"SETTINGS_IS_METRO","Metro",""
"SETTINGS_IS_MONORAIL","Monoray",""
"SETTINGS_IS_TRAM","Tramvay",""
"SETTINGS_IS_BUS","Otobüs",""
"SETTINGS_IS_TROLLEYBUS","Troleybüs",""
"SETTINGS_IS_FERRY","Feribot",""
"SETTINGS_IS_BLIMP","Zeplin",""
"SETTINGS_IS_COPTER","Helikopter",""
"SETTINGS_TTS","TTS'yi Etkinleştir",""
"SETTINGS_TTS_VOICECHOICE","Ses seçin",""
"SETTINGS_TTS_TOOLTIP","Metin tabanlı konuşma ile istasyon anons sesini etkinleştir.",""
"SETTINGS_TTS_DEPARTING","İstasyondan ayrılışta anons formatı",""
"SETTINGS_TTS_ARRIVING","İstasyona varışta anons formatı",""
"SETTINGS_TTS_RATE","Konuşma hızı",""
"SETTINGS_TTS_FORMATTOOLTIP","{0} - İstasyon adı
{1} - Terminal adı
{2} - Hat adı
{3} - Hat kodu (TLM modu gerektirir)
{4} - Araç türü adı",""
"SETTINGS_TTS_NOTAVAILABLE","Üzgünüz, bu özellik yalnızca Windows için kullanılabilir.",""
"WARNTITLE","Uyarı!",""
"WARNDETAIL","Tren Ekranı görüntülemeyi durdurdu: {1}{0}",""
"WARNTEXT","Başlangıç ve terminal istasyonları algılanamadı",""
"IGNORE","Yoksay",""
"HIDE","Ekranı Gizle",""
"SETTINGS_RESETBTN","Ayarları Sıfırla",""
